id,date_utc,phase,hypothesis,dataset,split,params,n_obs,result,decision,reason
E0015,2026-09-17T23:35:55+00:00,phase3,"C4 continuation après-midi (avec pente, cible fixe σ)",NAS100+SPX500,TRAIN,36 combos,,excursion continuation médiane ~0.9σ vs reversion ~0.85σ: pas d'asymétrie exploitable; divergence NQ/ES,rejet,pas d'edge économique dans notre design
E0016,2026-09-17T23:35:55+00:00,meta,Comptage familles explorées pour DSR/PBO,tous,TRAIN,~350 backtests + ~40 tables descriptives,,2 candidats verrouillés issus de ~400 essais effectifs,--,utilisé pour déflater les stats finales
E0017,2026-09-17T23:36:45+00:00,phase5,PREFADE-S VALIDATION,NAS100,VAL,frozen params,582,gross -0.120sg PF 0.92 posY 2/4 net -1.117pts,FAIL,"criteria A1-A3: (False, False, False)"
E0018,2026-09-17T23:36:45+00:00,phase5,PREFADE-F VALIDATION,NAS100,VAL,frozen params,220,gross +0.095sg PF 1.17 posY 2/4 net +0.153pts,FAIL,"criteria A1-A3: (True, False, True)"
E0019,2026-09-17T23:36:45+00:00,phase5,PREFADE-S VALIDATION,SPX500,VAL,frozen params,567,gross +0.013sg PF 1.11 posY 3/4 net -0.314pts,FAIL,"criteria A1-A3: (False, True, True)"
E0020,2026-09-17T23:36:45+00:00,phase5,PREFADE-F VALIDATION,SPX500,VAL,frozen params,231,gross -0.013sg PF 1.15 posY 4/4 net -0.265pts,FAIL,"criteria A1-A3: (False, True, True)"
E0021,2026-09-17T23:39:14+00:00,phase5b,Famille A: pullback continuation après tenue VWAP (dominance 80% sur 45min),NAS100+SPX500,TRAIN,2 cotes x 3 horizons,~1950/cote,"dérive max +0.06σ, signe instable",rejet,rien d'exploitable au niveau des coûts
E0022,2026-09-17T23:39:14+00:00,phase5b,Famille C: fade premier touch bandes WEEKLY (semaine mature >=1400min),NAS100+SPX500,TRAIN,3 niveaux x 2 cotes,240-430/cellule,NQ côté bas +0.08-0.14 ATRd mais ES ~0/négatif,rejet,incohérent inter-instruments; suspect biais haussier NQ
E0023,2026-09-17T23:39:14+00:00,phase5,"VERDICT VALIDATION 2015-2018: PREFADE-S FAIL (2 instr), PREFADE-F FAIL partiel (A2/A1)",NAS100+SPX500,VAL,règles gelées,220-582,edge 2005-2014 (+0.16..0.27σ) tombe à -0.12..+0.10σ en 2015-2018,décroissance d'alpha documentée,pas d'itération sur VAL; Vault à ouvrir sur règles gelées pour compléter la courbe de décroissance
E0024,2026-09-17T23:41:43+00:00,phase7-VAULT,"PREFADE-S vault opening (single, frozen)",NAS100_vault_2019_20,VAULT,frozen,162,gross -0.171sg PF 1.04 net -0.053pts,recorded,no post-vault modification permitted
E0025,2026-09-17T23:41:43+00:00,phase7-VAULT,"PREFADE-F vault opening (single, frozen)",NAS100_vault_2019_20,VAULT,frozen,56,gross -0.302sg PF 1.20 net +1.875pts,recorded,no post-vault modification permitted
E0026,2026-09-17T23:41:43+00:00,phase7-VAULT,"PREFADE-S vault opening (single, frozen)",SPX500_vault_2019_20,VAULT,frozen,164,gross -0.111sg PF 0.92 net -0.984pts,recorded,no post-vault modification permitted
E0027,2026-09-17T23:41:43+00:00,phase7-VAULT,"PREFADE-F vault opening (single, frozen)",SPX500_vault_2019_20,VAULT,frozen,51,gross +0.041sg PF 1.15 net +0.068pts,recorded,no post-vault modification permitted
E0028,2026-09-17T23:41:43+00:00,phase7-VAULT,"PREFADE-S vault opening (single, frozen)",NAS100_2026,VAULT,frozen,67,gross +0.091sg PF 1.32 net +14.118pts,recorded,no post-vault modification permitted
E0029,2026-09-17T23:41:43+00:00,phase7-VAULT,"PREFADE-F vault opening (single, frozen)",NAS100_2026,VAULT,frozen,25,gross +0.044sg PF 1.18 net +6.025pts,recorded,no post-vault modification permitted
E0030,2026-09-17T23:41:43+00:00,phase7-VAULT,"PREFADE-S vault opening (single, frozen)",SPX500_2026,VAULT,frozen,87,gross +0.119sg PF 1.34 net +1.735pts,recorded,no post-vault modification permitted
E0031,2026-09-17T23:41:43+00:00,phase7-VAULT,"PREFADE-F vault opening (single, frozen)",SPX500_2026,VAULT,frozen,38,gross -0.195sg PF 0.77 net -2.355pts,recorded,no post-vault modification permitted
E0032,2026-09-18T10:34:23+00:00,m2-backtest,"REVFADE (flat-VWAP context + sustained impulse, fade 2.5σ)",NAS100,TRAIN,"grid 324 combos, centre {'S': 0.75, 'R': 4, 'K': 2.5, 'TS': 240, 'W': (450, 810)}",2138,"centre gross exp_sg +0.134, sharpe 1.12; baseline exp_sg +0.167",sweep,candidat mission 2
E0033,2026-09-18T10:36:24+00:00,m2-backtest,"REVFADE (flat-VWAP context + sustained impulse, fade 2.5σ)",SPX500,TRAIN,"grid 324 combos, centre {'S': 0.75, 'R': 4, 'K': 2.5, 'TS': 240, 'W': (450, 810)}",1550,"centre gross exp_sg +0.241, sharpe 1.81; baseline exp_sg +0.151",sweep,candidat mission 2
E0034,2026-09-18T10:38:24+00:00,m2-VAL,M2-CTX validation unique,NAS100,VAL,gelé,794,exp_sg +0.019 PF 1.01 posY 1/4,FAIL,"A1-A3: (np.False_, False, np.False_)"
E0035,2026-09-18T10:38:24+00:00,m2-VAL,M2-BASE validation unique,NAS100,VAL,gelé,1023,exp_sg +0.012 PF 0.97 posY 1/4,FAIL,"A1-A3: (np.False_, False, np.False_)"
E0036,2026-09-18T10:38:36+00:00,m2-VAL,M2-CTX validation unique,SPX500,VAL,gelé,657,exp_sg +0.009 PF 1.01 posY 2/4,FAIL,"A1-A3: (np.False_, False, np.False_)"
E0037,2026-09-18T10:38:36+00:00,m2-VAL,M2-BASE validation unique,SPX500,VAL,gelé,929,exp_sg +0.051 PF 1.05 posY 3/4,FAIL,"A1-A3: (np.False_, True, np.False_)"
E0038,2026-09-18T10:39:20+00:00,m2-decision,Hypothèse forte (équilibre→expansion DIRECTE→réversion) FALSIFIÉE: inversée,NAS100+SPX500,TRAIN,16 défs EQxDIR x 3 fenêtres,~1000-2600/cellule,impulsions directes/rapides depuis l'équilibre CONTINUENT (-0.1..-0.9σ); c'est la non-directness qui aide,rejet hypothèse forte,sortie de balance initiative = continuation (auction theory)
E0039,2026-09-18T10:39:20+00:00,m2-decision,Apport du contexte (VWAP plate + run>=4) vs baseline fade 2.5σ,NAS100+SPX500,TRAIN,fenêtre 0930-1330,1181-2837,aide ES (+0.165 vs +0.092σ) mais NUIT à NQ (+0.085 vs +0.136σ),incohérent inter-instruments,réponse quantitative à §24
E0040,2026-09-18T10:39:20+00:00,m2-decision,VAULT NON OUVERT pour mission 2,tous,VAULT,n/a,0,aucun candidat n'a passé VAL; lecture inutile scientifiquement,préservation du holdout,le Vault m1 (famille pré-open) reste la seule lecture effectuée
